2019-04-09 11:09:32,173 | DEBUG | DefaultExecutorServiceManager.java 218 | Created new CachedThreadPool for source: Consumer[activemq://JMS.SAMPLE.REQ] with name: JmsConsumer[JMS.SAMPLE.REQ]. -> java.util.concurrent.ThreadPoolExecutor@593e824f[Running, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0]
2019-04-09 11:09:32,174 | DEBUG | RouteService.java 366 | Starting child service on route: route1 -> Channel[sendTo(file://data/output?fileName=message.txt)]
2019-04-09 11:09:32,180 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=producers,name=GenericFileProducer(0x77307458)
2019-04-09 11:09:32,181 | DEBUG | ProducerCache.java 592 | Adding to producer cache with key: file://data/output?fileName=message.txt for producer: Producer[file://data/output?fileName=message.txt]
2019-04-09 11:09:32,182 | DEBUG | RouteService.java 366 | Starting child service on route: route1 -> sendTo(file://data/output?fileName=message.txt)
2019-04-09 11:09:32,205 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=processors,name="to1"
2019-04-09 11:09:32,206 | DEBUG | RouteService.java 366 | Starting child service on route: route1 -> Channel[sendTo(file://data/output?fileName=message.txt)]
2019-04-09 11:09:32,214 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=routes,name="route1"
2019-04-09 11:09:32,215 | DEBUG | TimerListenerManager.java 115 | Added TimerListener: org.apache.camel.management.mbean.ManagedSuspendableRoute@15a902e7
2019-04-09 11:09:32,215 | DEBUG | DefaultManagementLifecycleStrategy.java 987 | Load performance statistics disabled
2019-04-09 11:09:32,215 | DEBUG | DefaultProducer.java 77 | Starting producer: Producer[file://data/output?fileName=message.txt]
2019-04-09 11:09:32,216 | DEBUG | DefaultCamelContext.java 4010 | Route: route1 >>> EventDrivenConsumerRoute[activemq://JMS.SAMPLE.REQ -> Channel[sendTo(file://data/output?fileName=message.txt)]]
2019-04-09 11:09:32,216 | DEBUG | DefaultCamelContext.java 4014 | Starting consumer (order: 1000) on route: route1
2019-04-09 11:09:32,222 | DEBUG | DefaultManagementAgent.java 472 | Registered MBean with ObjectName: org.apache.camel:context=camel-1,type=consumers,name=JmsConsumer(0x2f94c4db)
2019-04-09 11:09:32,223 | DEBUG | DefaultConsumer.java 144 | Starting consumer: Consumer[activemq://JMS.SAMPLE.REQ]
2019-04-09 11:09:32,410 | DEBUG | ManagementContext.java 447 | Probably not using JRE 1.4: mx4j.tools.naming.NamingService
2019-04-09 11:09:32,415 | DEBUG | ManagementContext.java 94 | Starting JMXConnectorServer...
2019-04-09 11:09:32,431 | INFO | BrokerService.java 521 | Using Persistence Adapter: MemoryPersistenceAdapter
2019-04-09 11:09:32,433 | INFO | BrokerService.java 799 | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting
2019-04-09 11:09:32,433 | INFO | BrokerService.java 801 | For help or more information please see: http://activemq.apache.org/
2019-04-09 11:09:32,476 | INFO | ManagementContext.java 101 | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi
2019-04-09 11:09:32,565 | INFO | BrokerService.java 564 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54538-1554793772448-0:1) started
2019-04-09 11:09:32,569 | DEBUG | VMTransportFactory.java 210 | binding to broker: localhost
2019-04-09 11:09:32,575 | INFO | TransportConnector.java 265 | Connector vm://localhost Started
2019-04-09 11:09:32,584 | DEBUG | AbstractJmsListeningContainer.java 380 | Established shared JMS Connection
2019-04-09 11:09:32,586 | DEBUG | AbstractJmsListeningContainer.java 547 | Resumed paused task: org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker@6bc248ed
2019-04-09 11:09:32,594 | DEBUG | TransportConnection.java 688 | Setting up new connection id: ID:FBDLXPS15-54538-1554793772448-3:1, address: vm://localhost#0, info: ConnectionInfo {commandId = 1, responseRequired = true, connectionId = ID:FBDLXPS15-54538-1554793772448-3:1, clientId = ID:FBDLXPS15-54538-1554793772448-2:1, clientIp = null, userName = null, password = *****, brokerPath = null, brokerMasterConnector = false, manageable = true, clientMaster = true, faultTolerant = false, failoverReconnect = false}
2019-04-09 11:09:32,598 | DEBUG | AbstractRegion.java 135 | localhost adding destination: topic://ActiveMQ.Advisory.Connection
2019-04-09 11:09:32,610 | DEBUG | AbstractRegion.java 260 | localhost adding consumer: ID:FBDLXPS15-54538-1554793772448-3:1:-1:1 for destination: ActiveMQ.Advisory.TempQueue,ActiveMQ.Advisory.TempTopic
2019-04-09 11:09:32,617 | DEBUG | JmsConsumer.java 110 | Started listener container org.apache.camel.component.jms.DefaultJmsMessageListenerContainer@32cb636e on destination JMS.SAMPLE.REQ
2019-04-09 11:09:32,617 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: activemq://JMS.SAMPLE.REQ
2019-04-09 11:09:32,617 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-04-09 11:09:32,619 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.872 seconds
2019-04-09 11:09:32,629 | DEBUG | AbstractRegion.java 260 | localhost adding consumer: ID:FBDLXPS15-54538-1554793772448-3:1:1:1 for destination: queue://JMS.SAMPLE.REQ
2019-04-09 11:09:32,629 | DEBUG | AbstractRegion.java 135 | localhost adding destination: queue://JMS.SAMPLE.REQ
2019-04-09 11:09:32,640 | DEBUG | Queue.java 1741 | JMS.SAMPLE.REQ toPageIn: 0, Inflight: 0, pagedInMessages.size 0, enqueueCount: 0, dequeueCount: 0
2019-04-09 11:09:32,641 | DEBUG | AbstractRegion.java 135 | localhost adding destination: topic://ActiveMQ.Advisory.Queue
